Model,Variable,Variable Used in Risk Score Formula?,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
Adult,MAGE_LAST_21_24,Yes,0.189,0.121,0.080,0.052,0.051
Adult,MAGE_LAST_25_29,Yes,0.192,0.120,0.078,0.049,0.047
Adult,MAGE_LAST_30_34,Yes,0.223,0.145,0.097,0.062,0.061
Adult,MAGE_LAST_35_39,Yes,0.244,0.159,0.105,0.065,0.064
Adult,MAGE_LAST_40_44,Yes,0.280,0.189,0.129,0.083,0.082
Adult,MAGE_LAST_45_49,Yes,0.309,0.211,0.147,0.097,0.095
Adult,MAGE_LAST_50_54,Yes,0.391,0.284,0.213,0.157,0.155
Adult,MAGE_LAST_55_59,Yes,0.441,0.325,0.246,0.185,0.183
Adult,MAGE_LAST_60_GT,Yes,0.493,0.366,0.279,0.211,0.209
Adult,FAGE_LAST_21_24,Yes,0.286,0.186,0.121,0.075,0.073
Adult,FAGE_LAST_25_29,Yes,0.307,0.199,0.129,0.078,0.076
Adult,FAGE_LAST_30_34,Yes,0.373,0.257,0.180,0.122,0.120
Adult,FAGE_LAST_35_39,Yes,0.440,0.317,0.234,0.172,0.170
Adult,FAGE_LAST_40_44,Yes,0.497,0.368,0.279,0.210,0.207
Adult,FAGE_LAST_45_49,Yes,0.501,0.368,0.276,0.201,0.198
Adult,FAGE_LAST_50_54,Yes,0.544,0.407,0.309,0.230,0.227
Adult,FAGE_LAST_55_59,Yes,0.512,0.376,0.278,0.199,0.196
Adult,FAGE_LAST_60_GT,Yes,0.511,0.372,0.271,0.190,0.188
Adult,HHS_HCC001,Yes,0.610,0.495,0.426,0.382,0.380
Adult,HHS_HCC002,Yes,9.632,9.382,9.265,9.203,9.202
Adult,HHS_HCC003,Yes,8.965,8.831,8.747,8.678,8.675
Adult,HHS_HCC004,Yes,8.914,8.769,8.675,8.592,8.589
Adult,HHS_HCC006,Yes,8.576,8.501,8.427,8.333,8.329
Adult,HHS_HCC008,Yes,24.525,24.081,23.916,23.899,23.899
Adult,HHS_HCC009,Yes,13.190,12.873,12.733,12.672,12.670
Adult,HHS_HCC010,Yes,6.042,5.834,5.716,5.631,5.628
Adult,HHS_HCC011,Yes,3.876,3.663,3.536,3.439,3.436
Adult,HHS_HCC012,Yes,2.622,2.463,2.358,2.273,2.271
Adult,HHS_HCC013,Yes,1.054,0.935,0.827,0.717,0.714
Adult,HHS_HCC018,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC019,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC020,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC021,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC022,Yes,0.380,0.339,0.303,0.234,0.231
Adult,HHS_HCC023,Yes,11.879,11.731,11.645,11.587,11.585
Adult,HHS_HCC026,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC027,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC029,Yes,6.954,6.830,6.758,6.702,6.700
Adult,HHS_HCC030,Yes,1.446,1.351,1.278,1.204,1.201
Adult,HHS_HCC034,Yes,6.481,6.531,6.579,6.647,6.649
Adult,HHS_HCC035_1,Yes,7.706,7.500,7.402,7.365,7.367
Adult,HHS_HCC035_2,Yes,2.506,2.315,2.223,2.167,2.166
Adult,HHS_HCC036,Yes,0.706,0.607,0.537,0.466,0.463
Adult,HHS_HCC037_1,Yes,0.528,0.451,0.389,0.324,0.322
Adult,HHS_HCC037_2,Yes,0.528,0.451,0.389,0.324,0.322
Adult,HHS_HCC041,Yes,11.558,11.539,11.535,11.546,11.546
Adult,HHS_HCC042,Yes,11.889,11.691,11.610,11.582,11.581
Adult,HHS_HCC045,Yes,5.323,5.085,4.970,4.891,4.890
Adult,HHS_HCC046,Yes,2.842,2.639,2.547,2.497,2.497
Adult,HHS_HCC047,Yes,2.842,2.624,2.517,2.427,2.425
Adult,HHS_HCC048,Yes,0.469,0.365,0.266,0.146,0.142
Adult,HHS_HCC054,Yes,9.611,9.426,9.345,9.332,9.332
Adult,HHS_HCC055,Yes,5.113,4.911,4.827,4.805,4.804
Adult,HHS_HCC056,Yes,1.073,0.964,0.876,0.795,0.792
Adult,HHS_HCC057,Yes,0.467,0.376,0.280,0.173,0.168
Adult,HHS_HCC061,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC062,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC063,Yes,1.395,1.258,1.174,1.102,1.100
Adult,HHS_HCC066,Yes,74.006,73.673,73.537,73.513,73.514
Adult,HHS_HCC067,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC068,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC069,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC070,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC071,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC073,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC074,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC075,Yes,2.211,2.111,2.041,1.976,1.974
Adult,HHS_HCC081,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC082,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC083,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC084,Yes,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC087_1,Yes,2.423,2.222,2.100,1.990,1.988
Adult,HHS_HCC087_2,Yes,2.407,2.208,2.086,1.969,1.966
Adult,HHS_HCC088,Yes,1.097,0.972,0.866,0.752,0.748
Adult,HHS_HCC090,Yes,0.777,0.675,0.568,0.452,0.448
Adult,HHS_HCC094,Yes,2.296,2.160,2.060,1.969,1.965
Adult,HHS_HCC096,Yes,8.822,8.772,8.724,8.674,8.671
